absence_id,employee_id,base_code,role,absence_type,start_date,end_date,days_absent,approved
ABS000032,EMP00821,GRU,Tripulante Cabina Senior,Capacitacion,2023-04-14,2023-04-15,1,1
ABS000033,EMP01936,EZE,Supervisor Operaciones,Licencia Medica,2024-07-26,2024-08-11,16,1
ABS000034,EMP01766,BOG,Ground Staff,Licencia Medica,2023-01-26,2023-02-15,20,1
ABS000035,EMP01294,SCL,Ground Staff,Licencia Medica,2023-07-01,2023-07-20,19,1
ABS000036,EMP00544,EZE,Piloto Comandante,Permiso Sin Goce,2024-07-28,2024-08-01,4,1
ABS000037,EMP00916,LIM,Piloto Comandante,Vacaciones,2023-06-03,2023-06-16,13,1
ABS000038,EMP01181,GRU,Piloto Copiloto,Capacitacion,2023-09-13,2023-09-16,3,1
ABS000039,EMP01859,GRU,Tripulante Cabina,Vacaciones,2023-02-08,2023-02-21,13,1
ABS000040,EMP01787,GRU,Agente Check-in,Vacaciones,2024-11-04,2024-11-14,10,1
ABS000041,EMP01632,MAD,Tripulante Cabina,Vacaciones,2022-12-27,2023-01-03,7,1
ABS000042,EMP00414,BOG,Tripulante Cabina Senior,Vacaciones,2022-09-01,2022-09-14,13,1
ABS000043,EMP01691,EZE,Ground Staff,Capacitacion,2023-06-27,2023-06-28,1,1
ABS000044,EMP01678,MAD,Agente Check-in,Accidente Laboral,2023-07-02,2023-07-03,1,0
ABS000045,EMP00968,MIA,Tripulante Cabina,Licencia Medica,2023-07-20,2023-08-02,13,1
ABS000046,EMP01766,MAD,Administrativo,Capacitacion,2024-02-27,2024-03-03,5,1
ABS000047,EMP01244,EZE,Tripulante Cabina,Licencia Medica,2023-03-04,2023-03-13,9,1
ABS000048,EMP01445,GRU,Piloto Comandante,Licencia Medica,2024-06-18,,3,1
ABS000049,EMP01132,LIM,Supervisor Operaciones,Vacaciones,2023-12-17,2024-01-02,16,1
ABS000050,EMP01725,LIM,Ground Staff,Permiso Sin Goce,2024-01-14,,4,0
ABS000051,EMP00269,GRU,Tecnico Mantencion,Licencia Medica,2024-09-10,2024-10-09,29,
ABS000052,EMP01743,SCL,Seguridad,Permiso Sin Goce,2024-07-05,,6,1
ABS000053,EMP01759,MIA,Tripulante Cabina Senior,Licencia Medica,2022-02-03,2022-02-18,15,1
ABS000054,EMP01292,LIM,Piloto Comandante,Accidente Laboral,2024-08-06,2024-08-12,6,1
ABS000055,EMP00134,LIM,Tecnico Mantencion,Licencia Medica,2024-07-02,2024-07-12,10,0
ABS000056,EMP01083,SCL,Tecnico Mantencion,Licencia Medica,2022-07-21,2022-07-25,4,1
ABS000057,EMP00497,LIM,Tripulante Cabina Senior,Licencia Medica,2023-12-26,2024-01-06,11,0
ABS000058,EMP01121,GRU,Ground Staff,Permiso Sin Goce,2022-04-26,2022-05-05,9,1
ABS000059,EMP00098,GRU,Supervisor Operaciones,Permiso Sin Goce,2023-02-10,2023-02-14,4,1
ABS000060,EMP01159,BOG,Tripulante Cabina Senior,Vacaciones,2024-01-19,2024-02-01,13,1
ABS000061,EMP00598,SCL,Ground Staff,Accidente Laboral,2024-03-03,2024-03-09,6,1
ABS000062,EMP00866,BOG,Tripulante Cabina Senior,Licencia Medica,2023-11-26,2023-12-24,28,1
ABS000063,EMP00480,SCL,Ground Staff,Vacaciones,2022-01-21,2022-02-08,18,1
ABS000064,EMP01951,SCL,Tripulante Cabina,Accidente Laboral,2023-07-04,2023-07-09,5,1
ABS000065,EMP00867,BOG,Piloto Comandante,Capacitacion,2024-06-30,2024-07-02,2,1
ABS000066,EMP00846,SCL,Tripulante Cabina Senior,Licencia Medica,2022-09-20,2022-10-20,30,1
ABS000067,EMP00014,GRU,Ground Staff,Licencia Medica,2023-03-08,2023-03-21,13,1
ABS000068,EMP01038,GRU,Ground Staff,Licencia Medica,2022-12-25,2023-01-12,18,1
ABS000069,EMP00916,GRU,Agente Check-in,Licencia Medica,2023-07-02,2023-07-22,20,1
ABS000070,EMP01207,EZE,Piloto Copiloto,Capacitacion,2022-07-30,2022-08-03,4,
ABS000071,EMP00178,GRU,Supervisor Operaciones,Vacaciones,2023-12-05,2023-12-24,19,1
ABS000072,EMP01870,GRU,Tripulante Cabina,Vacaciones,2023-02-20,2023-03-13,21,1
ABS000073,EMP00347,SCL,Piloto Copiloto,Licencia Medica,2023-03-01,2023-03-22,21,1
ABS000074,EMP00400,GRU,Piloto Copiloto,Licencia Medica,2022-05-11,2022-06-04,24,1
ABS000075,EMP00142,SCL,Tripulante Cabina,Capacitacion,2024-09-21,2024-09-22,1,1
ABS000076,EMP01413,GRU,Tripulante Cabina,Accidente Laboral,2023-07-26,2023-07-31,5,1
ABS000077,EMP00096,MAD,Piloto Copiloto,Vacaciones,2023-08-18,2023-09-06,19,
ABS000078,EMP01379,JFK,Ground Staff,Permiso Sin Goce,2024-07-15,2024-07-16,1,1
ABS000079,EMP01143,MIA,Ground Staff,Permiso Sin Goce,2022-04-09,2022-04-15,6,1
ABS000080,EMP00871,LIM,Tripulante Cabina,Licencia Medica,2022-07-13,2022-07-27,14,1
ABS000081,EMP00022,SCL,Supervisor Operaciones,Licencia Medica,2024-03-21,2024-04-10,20,1
ABS000082,EMP01991,SCL,Tripulante Cabina,Permiso Sin Goce,2024-05-13,2024-05-17,,1
ABS000083,EMP01317,SCL,Ground Staff,Vacaciones,2023-02-16,2023-03-06,18,1
ABS000084,EMP01173,LIM,Tripulante Cabina Senior,Licencia Medica,2024-10-23,2024-11-09,17,
ABS000085,EMP00718,JFK,Ground Staff,Vacaciones,2024-07-07,2024-07-15,8,1
ABS000086,EMP01823,BOG,Piloto Copiloto,Licencia Medica,2023-07-06,2023-07-24,18,1
ABS000087,EMP00644,SCL,Agente Check-in,Accidente Laboral,2022-05-17,2022-05-19,2,1
ABS000088,EMP00776,BOG,Tripulante Cabina Senior,Licencia Medica,2023-04-30,2023-05-24,24,1
ABS000089,EMP01814,MIA,Supervisor Operaciones,Vacaciones,2022-05-16,2022-05-29,13,1
ABS000090,EMP00470,EZE,Agente Check-in,Permiso Sin Goce,2022-11-28,2022-12-01,3,1
ABS000091,EMP00503,SCL,Piloto Copiloto,Vacaciones,2024-05-09,2024-05-20,11,1
ABS000092,EMP01786,SCL,Administrativo,Licencia Medica,2023-07-08,2023-08-06,29,1
ABS000093,EMP01183,SCL,Agente Check-in,Vacaciones,2022-10-24,2022-11-09,16,1
ABS000094,EMP00121,EZE,Tripulante Cabina Senior,Vacaciones,2023-02-06,2023-02-26,20,1
ABS000095,EMP00782,EZE,Piloto Comandante,Licencia Medica,2023-01-09,2023-01-12,3,1
ABS000096,EMP01240,SCL,Tripulante Cabina Senior,Vacaciones,2024-12-31,2025-01-16,16,1
ABS000097,EMP01648,SCL,Tripulante Cabina,Licencia Medica,2024-12-25,2025-01-22,28,1
ABS000098,EMP00718,EZE,Ground Staff,Vacaciones,2023-01-25,2023-02-09,15,
ABS000099,EMP00513,GRU,Piloto Copiloto,Vacaciones,2024-12-08,2024-12-19,11,1
ABS000100,EMP01712,SCL,Administrativo,Ausencia Injustificada,2022-01-13,2022-01-18,5,1
ABS000101,EMP00225,GRU,Tripulante Cabina,Vacaciones,2022-10-02,2022-10-21,19,1
ABS000102,EMP00868,SCL,Tripulante Cabina,Capacitacion,2024-06-30,2024-07-03,3,1
ABS000103,EMP00220,BOG,Tripulante Cabina Senior,Permiso Sin Goce,2024-06-21,2024-06-29,8,1
ABS000104,EMP01253,BOG,Agente Check-in,Permiso Sin Goce,2024-07-24,2024-08-01,8,1
ABS000105,EMP01310,GRU,Tripulante Cabina Senior,Licencia Medica,2023-10-31,2023-11-25,25,1
ABS000106,EMP01602,LIM,Piloto Comandante,Licencia Medica,2023-07-28,2023-08-13,16,
ABS000107,EMP00400,SCL,Piloto Comandante,Permiso Sin Goce,2023-01-19,2023-01-20,1,1
ABS000108,EMP00559,SCL,Tecnico Mantencion,Vacaciones,2023-11-27,2023-12-12,15,0
ABS000109,EMP01563,GRU,Ground Staff,Vacaciones,2024-04-22,2024-05-08,16,1
ABS000110,EMP00801,LIM,Tripulante Cabina,Licencia Medica,2023-10-03,2023-10-09,6,1
ABS000111,EMP01005,BOG,Tripulante Cabina,Vacaciones,2024-05-15,2024-05-29,14,1
ABS000112,EMP00634,JFK,Administrativo,Capacitacion,2023-01-04,2023-01-05,1,1
ABS000113,EMP01956,MIA,Ground Staff,Accidente Laboral,2022-09-07,2022-09-09,2,1
ABS000114,EMP00172,MIA,Tripulante Cabina,Capacitacion,2024-06-29,2024-07-01,2,1
ABS000115,EMP01934,SCL,Supervisor Operaciones,Capacitacion,2022-01-31,2022-02-02,2,0
ABS000116,EMP00835,LIM,Tripulante Cabina Senior,Vacaciones,2024-08-16,2024-08-27,11,1
ABS000117,EMP00063,JFK,Agente Check-in,Vacaciones,2023-01-26,2023-02-11,16,1
ABS000118,EMP01890,LIM,Piloto Copiloto,Accidente Laboral,2022-03-08,2022-03-13,5,1
ABS000119,EMP00461,LIM,Agente Check-in,Accidente Laboral,2023-10-28,2023-11-06,9,1
ABS000120,EMP00938,GRU,Piloto Comandante,Permiso Sin Goce,2022-11-10,2022-11-11,1,1
ABS000121,EMP01973,GRU,Ground Staff,Permiso Sin Goce,2022-01-17,2022-01-19,2,1
ABS000122,EMP01289,MIA,Piloto Copiloto,Ausencia Injustificada,2022-01-03,2022-01-04,1,1
ABS000123,EMP01196,SCL,Agente Check-in,Licencia Medica,2022-11-16,2022-12-07,21,1
ABS000124,EMP00272,GRU,Ground Staff,Capacitacion,2023-03-14,2023-03-18,4,1
ABS000125,EMP01015,GRU,Ground Staff,Licencia Medica,2024-07-28,2024-08-11,14,1
ABS000126,EMP00226,SCL,,Licencia Medica,2022-06-25,2022-07-11,16,1
ABS000127,EMP00413,SCL,Agente Check-in,Vacaciones,2024-11-12,2024-11-20,8,1
ABS000128,EMP00144,SCL,Tripulante Cabina,Licencia Medica,2022-04-09,2022-04-11,2,1
ABS000129,EMP01993,SCL,Tripulante Cabina,Vacaciones,2024-11-05,2024-11-21,16,1
ABS000130,EMP01987,GRU,Agente Check-in,Capacitacion,2022-03-27,2022-03-28,1,0
ABS000131,EMP01705,BOG,Supervisor Operaciones,Vacaciones,2023-10-24,2023-11-06,13,1
ABS000132,EMP01086,LIM,Piloto Copiloto,Licencia Medica,2022-01-04,2022-01-09,5,1
ABS000133,EMP01235,EZE,Piloto Comandante,Capacitacion,2024-01-31,2024-02-02,2,1
ABS000134,EMP00640,EZE,Agente Check-in,Vacaciones,2022-05-29,2022-06-06,8,1
ABS000135,EMP00665,LIM,Tecnico Mantencion,Licencia Medica,2024-11-23,2024-12-12,19,1
ABS000136,EMP00069,SCL,Tecnico Mantencion,Licencia Medica,2022-08-18,2022-09-16,29,0
ABS000137,EMP01693,BOG,Tripulante Cabina,Vacaciones,2024-06-08,,21,1
ABS000138,EMP00259,LIM,Ground Staff,Permiso Sin Goce,2023-07-02,2023-07-07,5,1
ABS000139,EMP00920,SCL,Piloto Copiloto,Vacaciones,2022-01-25,2022-02-11,17,1
ABS000140,EMP01567,MIA,Supervisor Operaciones,Vacaciones,2024-01-23,2024-02-12,20,1
ABS000141,EMP01517,SCL,Piloto Copiloto,Ausencia Injustificada,2022-11-17,2022-11-18,1,1
ABS000142,EMP01698,BOG,Ground Staff,Permiso Sin Goce,2023-09-07,2023-09-10,3,1
ABS000143,EMP01276,GRU,Piloto Comandante,Licencia Medica,2023-07-14,2023-07-22,8,1
ABS000144,EMP00682,SCL,Tripulante Cabina,Capacitacion,2024-10-29,2024-11-03,5,1
ABS000145,EMP01569,GRU,Supervisor Operaciones,Licencia Medica,2022-10-26,2022-11-23,28,1
ABS000146,EMP01967,GRU,Tripulante Cabina Senior,Capacitacion,2023-11-27,2023-11-28,1,1
ABS000147,EMP01425,SCL,Tripulante Cabina,Accidente Laboral,2023-01-01,2023-01-10,9,0
ABS000148,EMP01468,SCL,Agente Check-in,Ausencia Injustificada,2023-06-15,2023-06-20,5,0
ABS000149,EMP01655,SCL,Tripulante Cabina,Vacaciones,2024-01-03,2024-01-23,20,1
ABS000150,EMP01747,GRU,Tripulante Cabina,Licencia Medica,2023-05-21,2023-06-07,17,1
ABS000151,EMP00261,SCL,Tripulante Cabina Senior,Vacaciones,2024-08-06,2024-08-24,18,1
ABS000152,EMP01904,MAD,Tripulante Cabina Senior,Vacaciones,2023-01-05,2023-01-13,8,1
ABS000153,EMP01156,MIA,Ground Staff,Capacitacion,2022-01-07,2022-01-08,1,1
ABS000154,EMP00625,GRU,Tripulante Cabina,Licencia Medica,2024-05-22,2024-05-27,5,1
ABS000155,EMP00854,GRU,Agente Check-in,Capacitacion,2023-01-23,2023-01-27,4,1
ABS000156,EMP01624,SCL,Agente Check-in,Vacaciones,2024-08-01,2024-08-19,18,1
ABS000157,EMP00906,MIA,Tripulante Cabina Senior,Vacaciones,2023-07-22,2023-08-12,21,1
ABS000158,EMP00493,LIM,Ground Staff,Licencia Medica,2022-01-16,2022-02-10,25,1
ABS000159,EMP00909,SCL,Supervisor Operaciones,Vacaciones,2022-12-05,2022-12-18,13,1
ABS000160,EMP00486,GRU,Tripulante Cabina,Vacaciones,2023-07-07,2023-07-23,16,1
ABS000161,EMP01001,BOG,Administrativo,Licencia Medica,2022-09-06,2022-09-08,2,1
ABS000162,EMP01922,SCL,Agente Check-in,Vacaciones,2023-02-06,2023-02-13,7,1
ABS000163,EMP00534,MIA,Supervisor Operaciones,Vacaciones,2024-06-20,2024-07-04,14,1
ABS000164,EMP01667,GRU,Piloto Copiloto,Licencia Medica,2022-10-05,2022-10-26,21,1
ABS000165,EMP00412,BOG,Supervisor Operaciones,Licencia Medica,2023-05-08,2023-05-09,1,1
ABS000166,EMP00113,EZE,Ground Staff,Licencia Medica,2023-01-20,2023-01-24,4,1
ABS000167,EMP00765,EZE,Tripulante Cabina,Licencia Medica,2023-08-13,2023-08-28,15,
ABS000168,EMP00129,LIM,Tripulante Cabina Senior,Licencia Medica,2023-01-01,2023-01-20,19,1
ABS000169,EMP00171,MIA,Tripulante Cabina Senior,Vacaciones,2024-03-21,2024-04-02,12,1
ABS000170,EMP01206,MIA,Agente Check-in,Vacaciones,2022-07-03,2022-07-22,19,1
ABS000171,EMP00850,GRU,Tripulante Cabina,Permiso Sin Goce,2022-06-19,2022-06-23,4,1
ABS000172,EMP01551,SCL,Agente Check-in,Capacitacion,2023-12-30,2024-01-01,,1
ABS000173,EMP01752,EZE,Tripulante Cabina,Vacaciones,2023-01-24,2023-02-04,11,1
ABS000174,EMP00115,EZE,Supervisor Operaciones,Vacaciones,2024-07-05,2024-07-23,18,1
ABS000175,EMP00697,GRU,Tripulante Cabina,Ausencia Injustificada,2024-01-02,2024-01-03,1,1
ABS000176,EMP00879,SCL,Ground Staff,Accidente Laboral,2023-06-22,,2,1
ABS000177,EMP00791,BOG,Tripulante Cabina,Permiso Sin Goce,2022-04-28,2022-05-02,4,1
ABS000178,EMP01939,EZE,Supervisor Operaciones,Licencia Medica,2023-01-07,2023-02-06,30,1
ABS000179,EMP01270,SCL,Tripulante Cabina Senior,Permiso Sin Goce,2022-10-06,2022-10-12,6,1
ABS000180,EMP00907,LIM,Administrativo,Vacaciones,2024-04-19,2024-04-30,11,1
ABS000181,EMP00910,SCL,Ground Staff,Capacitacion,2022-01-15,2022-01-16,1,
ABS000182,EMP01469,SCL,Ground Staff,Licencia Medica,2023-12-17,2024-01-04,18,1
ABS000183,EMP00442,SCL,Administrativo,Accidente Laboral,2022-06-22,2022-06-23,1,1
ABS000184,EMP00041,EZE,Tripulante Cabina,Vacaciones,2024-05-31,2024-06-20,20,1
ABS000185,EMP00647,SCL,Tripulante Cabina,Vacaciones,2023-04-26,2023-05-06,10,1
ABS000186,EMP00376,BOG,Tripulante Cabina Senior,Accidente Laboral,2022-08-28,2022-09-03,,
ABS000187,EMP01979,BOG,Agente Check-in,Permiso Sin Goce,2024-06-27,2024-07-01,4,1
ABS000188,EMP00363,SCL,Agente Check-in,Vacaciones,2022-07-10,2022-07-17,7,1
ABS000189,EMP01118,SCL,Tecnico Mantencion,Licencia Medica,2024-06-19,2024-06-21,2,1
ABS000190,EMP01676,LIM,Tripulante Cabina Senior,Licencia Medica,2023-01-05,,9,1
ABS000191,EMP00936,SCL,Administrativo,Capacitacion,2023-07-15,,3,1
ABS000192,EMP00935,MIA,Piloto Copiloto,Vacaciones,2022-06-14,2022-06-23,9,1
ABS000193,EMP01810,LIM,Agente Check-in,Accidente Laboral,2023-07-07,2023-07-14,7,1
ABS000194,EMP00790,SCL,Tripulante Cabina Senior,Permiso Sin Goce,2024-03-31,2024-04-08,8,1
ABS000195,EMP01727,GRU,Ground Staff,Accidente Laboral,2024-07-17,2024-07-26,9,1
ABS000196,EMP00421,GRU,Supervisor Operaciones,Licencia Medica,2022-01-06,2022-01-07,1,0
ABS000197,EMP00326,GRU,Tripulante Cabina,Capacitacion,2023-01-20,2023-01-25,5,1
ABS000198,EMP01373,GRU,Tripulante Cabina,Licencia Medica,2024-11-17,2024-11-29,12,1
ABS000199,EMP00759,GRU,Tripulante Cabina Senior,Licencia Medica,2024-11-21,2024-12-18,27,1
ABS000200,EMP01775,GRU,Tripulante Cabina,Capacitacion,2024-02-10,2024-02-11,1,0
ABS000201,EMP01562,GRU,Piloto Copiloto,Vacaciones,2023-09-23,2023-10-05,12,1
ABS000202,EMP01822,LIM,Ground Staff,Accidente Laboral,2024-07-10,2024-07-16,6,1
ABS000203,EMP01061,BOG,Tripulante Cabina,Vacaciones,2023-08-16,2023-08-27,,0
ABS000204,EMP00126,SCL,Tripulante Cabina,Accidente Laboral,2023-10-16,2023-10-17,1,1
ABS000205,EMP01121,GRU,Supervisor Operaciones,Permiso Sin Goce,2023-05-03,2023-05-06,3,1
ABS000206,EMP01791,SCL,Tripulante Cabina,Vacaciones,2022-07-26,2022-08-04,9,1
ABS000207,EMP01177,MIA,Tripulante Cabina,Ausencia Injustificada,2024-03-08,2024-03-09,1,1
ABS000208,EMP00809,LIM,Ground Staff,Ausencia Injustificada,2023-07-14,2023-07-18,4,1
ABS000209,EMP01728,GRU,Supervisor Operaciones,Licencia Medica,2022-07-30,2022-08-19,20,1
ABS000210,EMP01175,SCL,Ground Staff,Licencia Medica,2024-02-22,2024-03-21,28,1
ABS000211,EMP01057,GRU,Piloto Copiloto,Licencia Medica,2022-09-17,2022-09-27,10,1
ABS000212,EMP01693,LIM,Ground Staff,Vacaciones,2023-03-27,2023-04-13,17,1
ABS000213,EMP01368,MIA,Supervisor Operaciones,Permiso Sin Goce,2023-11-22,2023-11-26,4,1
ABS000214,EMP00056,BOG,Tripulante Cabina Senior,Permiso Sin Goce,2022-09-26,2022-10-05,9,1
ABS000215,EMP01642,LIM,Tecnico Mantencion,Capacitacion,2024-01-06,2024-01-08,2,1
ABS000216,EMP00771,SCL,Piloto Copiloto,Licencia Medica,2022-07-21,2022-07-31,10,1
ABS000217,EMP00889,SCL,Tripulante Cabina,Licencia Medica,2024-01-15,2024-02-04,20,1
ABS000218,EMP01987,BOG,Ground Staff,Vacaciones,2024-07-27,2024-08-10,14,1
ABS000219,EMP01463,GRU,Piloto Copiloto,Licencia Medica,2024-07-22,2024-07-24,2,1
ABS000220,EMP01489,MIA,Tripulante Cabina Senior,Permiso Sin Goce,2022-07-25,2022-08-04,,1
ABS000221,EMP01417,JFK,Agente Check-in,Accidente Laboral,2024-12-01,2024-12-05,,1
ABS000222,EMP00712,MIA,Tripulante Cabina,Vacaciones,2024-04-26,2024-05-07,11,1
ABS000223,EMP00655,GRU,Agente Check-in,Capacitacion,2023-07-08,2023-07-09,1,1
ABS000224,EMP00986,SCL,Piloto Copiloto,Capacitacion,2022-03-29,2022-03-31,2,1
ABS000225,EMP01644,EZE,Tripulante Cabina Senior,Licencia Medica,2023-09-22,2023-10-06,14,1
ABS000226,EMP01039,BOG,Agente Check-in,Permiso Sin Goce,2023-07-09,2023-07-10,1,1
ABS000227,EMP00555,LIM,Tripulante Cabina Senior,Permiso Sin Goce,2024-03-13,2024-03-22,9,1
ABS000228,EMP00053,SCL,Ground Staff,Vacaciones,2023-07-28,2023-08-13,16,0
ABS000229,EMP01510,SCL,Supervisor Operaciones,Permiso Sin Goce,2024-01-19,2024-01-28,9,1
ABS000230,EMP01626,LIM,Supervisor Operaciones,Licencia Medica,2023-05-02,2023-05-25,23,1
ABS000231,EMP01747,GRU,Tripulante Cabina,Vacaciones,2023-06-16,,9,
ABS000232,EMP00418,SCL,Ground Staff,Vacaciones,2023-01-06,2023-01-17,11,1
ABS000233,EMP01729,LIM,Administrativo,Vacaciones,2024-03-22,2024-04-02,11,1
ABS000234,EMP00328,GRU,Piloto Comandante,Capacitacion,2024-12-30,2025-01-03,4,1
ABS000235,EMP01762,GRU,Agente Check-in,Permiso Sin Goce,2024-08-12,2024-08-16,4,1
ABS000236,EMP00305,EZE,Supervisor Operaciones,Licencia Medica,2022-11-08,2022-12-07,29,1
ABS000237,EMP01096,LIM,Tripulante Cabina Senior,Permiso Sin Goce,2024-07-06,2024-07-16,10,1
ABS000238,EMP00901,GRU,Tripulante Cabina,Accidente Laboral,2022-06-17,2022-06-25,8,1
ABS000239,EMP00148,BOG,Piloto Copiloto,Licencia Medica,2024-07-11,2024-07-15,4,1
ABS000240,EMP01765,SCL,Piloto Copiloto,Licencia Medica,2023-07-31,2023-08-21,21,1
ABS000241,EMP01705,LIM,Tripulante Cabina Senior,Accidente Laboral,2024-01-08,2024-01-11,3,1
ABS000242,EMP01654,SCL,Piloto Copiloto,Capacitacion,2022-02-21,2022-02-26,5,1
ABS000243,EMP00176,LIM,Piloto Copiloto,Permiso Sin Goce,2022-01-01,2022-01-02,1,1
ABS000244,EMP01441,BOG,Tripulante Cabina,Vacaciones,2024-10-29,2024-11-08,10,1
ABS000245,EMP00209,EZE,Piloto Copiloto,Licencia Medica,2023-04-21,2023-05-06,15,1
ABS000246,EMP00074,MIA,Ground Staff,Ausencia Injustificada,2022-07-18,2022-07-23,5,0
ABS000247,EMP00418,GRU,Piloto Copiloto,Vacaciones,2023-12-01,2023-12-17,16,1
ABS000248,EMP01644,SCL,Tripulante Cabina,Permiso Sin Goce,2024-08-09,2024-08-11,2,0
ABS000249,EMP00913,GRU,Tripulante Cabina,Licencia Medica,2023-01-15,2023-01-16,1,1
ABS000250,EMP01108,GRU,Agente Check-in,Vacaciones,2023-07-20,2023-07-27,7,1
ABS000251,EMP01648,BOG,Agente Check-in,Ausencia Injustificada,2022-06-20,2022-06-27,7,1
ABS000252,EMP01670,GRU,Piloto Copiloto,Licencia Medica,2022-10-09,2022-10-25,16,1
ABS000253,EMP01807,SCL,Tripulante Cabina,Vacaciones,2024-01-16,2024-02-02,17,1
ABS000254,EMP00247,SCL,Piloto Comandante,Vacaciones,2022-01-08,2022-01-19,11,1
ABS000255,EMP01700,GRU,Tripulante Cabina Senior,Permiso Sin Goce,2023-01-09,2023-01-14,5,1
ABS000256,EMP01984,JFK,Ground Staff,Vacaciones,2024-07-27,2024-08-13,17,1
ABS000257,EMP00864,BOG,Tecnico Mantencion,Vacaciones,2024-08-19,2024-08-27,8,1
ABS000258,EMP01272,SCL,Administrativo,Licencia Medica,2022-07-03,2022-07-27,24,0
ABS000259,EMP01973,SCL,Ground Staff,Vacaciones,2023-04-10,2023-04-17,7,1
ABS000260,EMP00417,GRU,Agente Check-in,Vacaciones,2024-05-15,2024-05-27,12,0
ABS000261,EMP00113,GRU,Tripulante Cabina Senior,Licencia Medica,2022-09-17,2022-10-11,24,1
ABS000262,EMP01429,BOG,Piloto Copiloto,Vacaciones,2023-09-24,2023-10-02,8,1
ABS000263,EMP01698,GRU,Tripulante Cabina,Capacitacion,2022-10-04,2022-10-05,1,1
ABS000264,EMP01335,BOG,Agente Check-in,Licencia Medica,2023-03-11,2023-03-19,8,1
ABS000265,EMP00549,GRU,Tripulante Cabina Senior,Accidente Laboral,2024-03-15,2024-03-19,,1
ABS000266,EMP01205,EZE,Agente Check-in,Capacitacion,2023-02-20,2023-02-25,5,1
ABS000267,EMP00054,BOG,Supervisor Operaciones,Vacaciones,2024-03-07,2024-03-18,11,0
ABS000268,EMP00723,GRU,Tecnico Mantencion,Licencia Medica,2024-01-13,2024-01-27,14,1
ABS000269,EMP00735,GRU,Seguridad,Licencia Medica,2024-07-12,2024-07-19,7,1
ABS000270,EMP00489,LIM,Piloto Copiloto,Vacaciones,2024-04-04,2024-04-24,,1
