attrition_id,employee_id,base_code,role,category,exit_date,reason,seniority_years,contract_type,was_replaced
ATT000025,EMP00378,LIM,Supervisor Operaciones,Tierra,2022-04-24,Jubilacion,8,Honorarios,1
ATT000026,EMP00533,LIM,Agente Check-in,Tierra,2023-12-14,Termino Contrato,14,Plazo Fijo,
ATT000027,EMP00211,LIM,Agente Check-in,Tierra,2022-08-07,Renuncia Voluntaria,13,Plazo Fijo,1
ATT000028,EMP00916,EZE,Tecnico Mantencion,Tierra,2023-11-07,Termino Contrato,5,Indefinido,1
ATT000029,EMP00469,BOG,Ground Staff,Tierra,2024-09-15,Traslado Base,11,Indefinido,0
ATT000030,EMP01430,LIM,Tripulante Cabina,Cabina,2024-10-06,Jubilacion,9,Indefinido,1
ATT000031,EMP00240,MAD,Ground Staff,Tierra,2023-03-21,Renuncia Voluntaria,10,Plazo Fijo,
ATT000032,EMP01524,GRU,Piloto Copiloto,Cockpit,2024-05-15,Despido,15,Indefinido,0
ATT000033,EMP01913,LIM,Administrativo,Admin,2023-12-26,Renuncia Voluntaria,13,Plazo Fijo,0
ATT000034,EMP01682,EZE,Ground Staff,Tierra,2022-02-22,Termino Contrato,1,Plazo Fijo,1
ATT000035,EMP00632,GRU,Tripulante Cabina Senior,Cabina,2023-02-27,Despido,8,Indefinido,0
ATT000036,EMP01787,GRU,Tripulante Cabina,Cabina,2023-12-08,Jubilacion,7,Indefinido,0
ATT000037,EMP00852,MIA,Tripulante Cabina,Cabina,2024-08-12,Jubilacion,5,Indefinido,1
ATT000038,EMP00638,GRU,Piloto Copiloto,Cockpit,2024-07-18,Renuncia Voluntaria,,Indefinido,0
ATT000039,EMP00853,GRU,Supervisor Operaciones,Tierra,2022-01-04,Jubilacion,10,Indefinido,1
ATT000040,EMP01287,MIA,Ground Staff,Tierra,2023-01-31,Despido,9,Plazo Fijo,1
ATT000041,EMP01693,GRU,Ground Staff,Tierra,2022-01-16,Renuncia Voluntaria,1,Indefinido,1
ATT000042,EMP00455,GRU,Tripulante Cabina Senior,Cabina,2024-01-22,Renuncia Voluntaria,2,Part-time,1
ATT000043,EMP00686,GRU,Tripulante Cabina Senior,Cabina,2022-07-29,Despido,7,Part-time,1
ATT000044,EMP01604,SCL,Supervisor Operaciones,Tierra,2024-07-15,Traslado Base,9,Indefinido,0
ATT000045,EMP00094,GRU,Supervisor Operaciones,Tierra,2023-11-22,Renuncia Voluntaria,14,Indefinido,1
ATT000046,EMP00151,EZE,Administrativo,Admin,2023-03-16,Renuncia Voluntaria,5,Plazo Fijo,1
ATT000047,EMP01316,LIM,Agente Check-in,Tierra,2022-04-03,Renuncia Voluntaria,2,Part-time,0
ATT000048,EMP00113,BOG,Tripulante Cabina Senior,Cabina,2022-03-20,Renuncia Voluntaria,,Indefinido,1
ATT000049,EMP00132,LIM,Piloto Copiloto,Cockpit,2023-01-29,Renuncia Voluntaria,13,Part-time,1
ATT000050,EMP00945,MIA,Piloto Copiloto,Cockpit,2023-01-29,Traslado Base,14,Part-time,1
ATT000051,EMP01584,GRU,Tripulante Cabina,Cabina,2022-06-23,Renuncia Voluntaria,3,Indefinido,
ATT000052,EMP00377,SCL,Piloto Copiloto,Cockpit,2024-07-06,Termino Contrato,6,Plazo Fijo,1
ATT000053,EMP01207,MAD,Tripulante Cabina,Cabina,2024-01-26,Renuncia Voluntaria,10,Indefinido,1
ATT000054,EMP01272,BOG,Tripulante Cabina,Cabina,2023-09-28,Jubilacion,11,Plazo Fijo,1
ATT000055,EMP00592,GRU,Tripulante Cabina Senior,Cabina,2022-03-28,Termino Contrato,10,Part-time,0
ATT000056,EMP01906,LIM,Ground Staff,Tierra,2024-07-27,Renuncia Voluntaria,3,Indefinido,1
ATT000057,EMP00203,EZE,Supervisor Operaciones,Tierra,2024-07-14,Despido,3,Plazo Fijo,
ATT000058,EMP01265,BOG,Agente Check-in,Tierra,2024-07-10,Jubilacion,3,Indefinido,0
ATT000059,EMP01013,GRU,Supervisor Operaciones,Tierra,2023-09-05,Renuncia Voluntaria,15,Part-time,1
ATT000060,EMP01315,GRU,Ground Staff,Tierra,2023-07-08,Renuncia Voluntaria,7,Indefinido,1
ATT000061,EMP00113,MIA,Tecnico Mantencion,Tierra,2024-10-15,Termino Contrato,5,Indefinido,1
ATT000062,EMP00113,LIM,Tripulante Cabina Senior,Cabina,2024-02-02,Traslado Base,,Plazo Fijo,1
ATT000063,EMP00848,BOG,Supervisor Operaciones,Tierra,2022-01-18,Jubilacion,4,Indefinido,
ATT000064,EMP00266,MIA,Piloto Copiloto,Cockpit,2024-01-10,Jubilacion,3,Indefinido,1
ATT000065,EMP01279,GRU,Tripulante Cabina Senior,Cabina,2022-07-20,Despido,4,Indefinido,1
ATT000066,EMP01397,EZE,Agente Check-in,Tierra,2022-03-28,Renuncia Voluntaria,2,Indefinido,0
ATT000067,EMP01190,GRU,Tripulante Cabina,Cabina,2022-10-21,Jubilacion,9,Plazo Fijo,1
ATT000068,EMP01355,SCL,Piloto Copiloto,Cockpit,2024-01-09,Termino Contrato,14,Indefinido,1
ATT000069,EMP01297,GRU,Piloto Comandante,Cockpit,2024-07-07,Termino Contrato,13,Indefinido,1
ATT000070,EMP01959,BOG,Tripulante Cabina Senior,Cabina,2024-07-20,Jubilacion,13,Plazo Fijo,1
ATT000071,EMP00998,BOG,Administrativo,Admin,2022-11-08,Despido,2,Indefinido,0
ATT000072,EMP00787,GRU,Tripulante Cabina Senior,Cabina,2024-08-18,Renuncia Voluntaria,8,Part-time,1
ATT000073,EMP01109,MIA,Tripulante Cabina,Cabina,2024-07-29,Renuncia Voluntaria,6,Plazo Fijo,1
ATT000074,EMP01079,MIA,Tripulante Cabina Senior,Cabina,2024-04-23,Termino Contrato,11,Indefinido,1
ATT000075,EMP00965,SCL,Tripulante Cabina,Cabina,2024-04-08,Renuncia Voluntaria,4,Honorarios,1
ATT000076,EMP01613,MAD,Tripulante Cabina,Cabina,2024-04-30,Renuncia Voluntaria,15,Indefinido,0
ATT000077,EMP01297,SCL,Administrativo,Admin,2022-09-06,Despido,2,Indefinido,1
ATT000078,EMP01664,GRU,Tripulante Cabina,Cabina,2022-07-07,Termino Contrato,4,Indefinido,0
ATT000079,EMP00987,GRU,Piloto Comandante,Cockpit,2022-02-07,Despido,15,Part-time,1
ATT000080,EMP01332,SCL,Ground Staff,Tierra,2023-01-29,Renuncia Voluntaria,13,Indefinido,1
ATT000081,EMP01568,SCL,Tecnico Mantencion,Tierra,2022-01-20,Renuncia Voluntaria,3,Plazo Fijo,1
ATT000082,EMP00341,MIA,Piloto Copiloto,Cockpit,2024-07-09,Despido,6,Indefinido,1
ATT000083,EMP01751,SCL,Ground Staff,Tierra,2022-06-20,Renuncia Voluntaria,12,Indefinido,1
ATT000084,EMP00779,GRU,Piloto Copiloto,Cockpit,2023-07-19,Renuncia Voluntaria,2,Plazo Fijo,0
ATT000085,EMP01827,MIA,Ground Staff,Tierra,2024-11-04,Renuncia Voluntaria,4,Indefinido,
ATT000086,EMP01765,LIM,Tripulante Cabina,Cabina,2023-07-06,Renuncia Voluntaria,14,Indefinido,1
ATT000087,EMP01186,LIM,Piloto Comandante,Cockpit,2024-09-21,Jubilacion,4,Plazo Fijo,1
ATT000088,EMP00952,BOG,Ground Staff,Tierra,2023-07-18,Renuncia Voluntaria,12,Honorarios,1
ATT000089,EMP01437,LIM,Tripulante Cabina,Cabina,2024-06-26,Renuncia Voluntaria,2,Part-time,0
ATT000090,EMP00123,SCL,Tripulante Cabina,Cabina,2024-01-15,Despido,4,Part-time,1
ATT000091,EMP00340,BOG,Agente Check-in,Tierra,2022-02-11,Renuncia Voluntaria,8,Plazo Fijo,1
ATT000092,EMP01347,GRU,Tripulante Cabina Senior,Cabina,2023-04-04,Renuncia Voluntaria,1,Plazo Fijo,0
ATT000093,EMP00300,BOG,Seguridad,Tierra,2024-09-05,Renuncia Voluntaria,1,Plazo Fijo,1
ATT000094,EMP01442,LIM,Tripulante Cabina,Cabina,2022-10-04,Despido,7,Indefinido,1
ATT000095,EMP01273,SCL,Ground Staff,Tierra,2023-01-09,Jubilacion,3,Indefinido,
ATT000096,EMP01321,EZE,Piloto Copiloto,Cockpit,2024-01-30,Renuncia Voluntaria,5,Indefinido,1
ATT000097,EMP01496,SCL,Tripulante Cabina Senior,Cabina,2024-12-01,Termino Contrato,1,Part-time,1
ATT000098,EMP00791,GRU,Supervisor Operaciones,Tierra,2023-05-31,Renuncia Voluntaria,10,Plazo Fijo,0
ATT000099,EMP01685,MAD,Tripulante Cabina,Cabina,2023-11-30,Termino Contrato,13,Indefinido,0
ATT000100,EMP00161,GRU,Tecnico Mantencion,Tierra,2024-01-01,Termino Contrato,7,Part-time,1
ATT000101,EMP00392,MIA,Supervisor Operaciones,Tierra,2024-08-26,Renuncia Voluntaria,15,Indefinido,0
ATT000102,EMP00815,SCL,Agente Check-in,Tierra,2024-03-14,Jubilacion,7,Plazo Fijo,1
ATT000103,EMP01393,GRU,Tripulante Cabina,Cabina,2022-04-05,Renuncia Voluntaria,8,Indefinido,1
ATT000104,EMP00376,SCL,Supervisor Operaciones,Tierra,2022-04-21,Jubilacion,,Plazo Fijo,1
ATT000105,EMP01857,GRU,Supervisor Operaciones,Tierra,2022-11-12,Renuncia Voluntaria,7,Plazo Fijo,0
ATT000106,EMP00369,LIM,Piloto Copiloto,Cockpit,2023-08-28,Renuncia Voluntaria,10,Indefinido,1
ATT000107,EMP01438,GRU,Administrativo,Admin,2023-07-05,Traslado Base,6,Part-time,1
ATT000108,EMP00751,JFK,Ground Staff,Tierra,2022-08-22,Despido,11,Indefinido,1
ATT000109,EMP01966,MIA,Ground Staff,Tierra,2023-07-10,Renuncia Voluntaria,12,Part-time,1
ATT000110,EMP01473,BOG,Agente Check-in,Tierra,2023-05-22,Renuncia Voluntaria,12,Indefinido,1
ATT000111,EMP01964,EZE,Piloto Copiloto,Cockpit,2022-01-11,Traslado Base,15,Indefinido,0
ATT000112,EMP01309,SCL,Tripulante Cabina Senior,Cabina,2023-05-18,Jubilacion,5,Plazo Fijo,0
ATT000113,EMP01975,EZE,Tripulante Cabina Senior,Cabina,2023-07-01,Termino Contrato,4,Plazo Fijo,1
ATT000114,EMP00104,MIA,Agente Check-in,Tierra,2022-01-28,Despido,6,Indefinido,0
ATT000115,EMP00725,EZE,Ground Staff,Tierra,2024-06-22,Renuncia Voluntaria,8,Plazo Fijo,1
ATT000116,EMP00424,GRU,Agente Check-in,Tierra,2022-10-22,Despido,,Indefinido,1
ATT000117,EMP00740,GRU,Tripulante Cabina Senior,Cabina,2024-01-23,Termino Contrato,9,Honorarios,0
ATT000118,EMP00635,LIM,Supervisor Operaciones,Tierra,2023-07-23,Renuncia Voluntaria,3,Plazo Fijo,0
ATT000119,EMP01526,SCL,Agente Check-in,Tierra,2022-12-20,Renuncia Voluntaria,5,Part-time,1
ATT000120,EMP01256,MIA,Tripulante Cabina Senior,Cabina,2023-09-24,Termino Contrato,8,Indefinido,1
ATT000121,EMP01502,GRU,Piloto Copiloto,Cockpit,2022-02-27,Renuncia Voluntaria,7,Indefinido,0
ATT000122,EMP00737,GRU,Tecnico Mantencion,Tierra,2024-07-07,Termino Contrato,10,Plazo Fijo,0
ATT000123,EMP00514,SCL,Piloto Copiloto,Cockpit,2022-03-31,Renuncia Voluntaria,0,Indefinido,1
ATT000124,EMP00990,GRU,Tripulante Cabina,Cabina,2023-10-15,Termino Contrato,12,Indefinido,1
ATT000125,EMP01065,BOG,Tripulante Cabina,Cabina,2024-02-27,Renuncia Voluntaria,2,Indefinido,1
ATT000126,EMP01191,GRU,Tripulante Cabina Senior,Cabina,2022-01-21,Despido,13,Plazo Fijo,0
ATT000127,EMP00538,BOG,Piloto Comandante,Cockpit,2023-12-14,Termino Contrato,13,Plazo Fijo,
ATT000128,EMP00579,SCL,Tripulante Cabina Senior,Cabina,2022-06-05,Termino Contrato,10,Plazo Fijo,1
ATT000129,EMP00996,GRU,Ground Staff,Tierra,2023-01-24,Renuncia Voluntaria,14,Indefinido,1
ATT000130,EMP01119,MIA,Ground Staff,Tierra,2024-05-13,Renuncia Voluntaria,10,Indefinido,1
ATT000131,EMP00489,GRU,Piloto Comandante,Cockpit,2023-06-01,Termino Contrato,10,Indefinido,0
ATT000132,EMP01471,GRU,Piloto Comandante,Cockpit,2023-10-27,Traslado Base,1,Indefinido,1
ATT000133,EMP01936,GRU,Piloto Copiloto,Cockpit,2024-01-19,Renuncia Voluntaria,11,Indefinido,0
ATT000134,EMP01827,MIA,Tecnico Mantencion,Tierra,2022-01-10,Despido,4,Honorarios,1
ATT000135,EMP00943,LIM,Ground Staff,Tierra,2024-04-08,Termino Contrato,5,Indefinido,1
ATT000136,EMP00559,SCL,Agente Check-in,Tierra,2022-08-05,Termino Contrato,3,Plazo Fijo,0
ATT000137,EMP00640,BOG,Agente Check-in,Tierra,2023-01-30,Traslado Base,14,Plazo Fijo,1
ATT000138,EMP01085,BOG,Agente Check-in,Tierra,2024-07-09,Jubilacion,14,Indefinido,1
ATT000139,EMP01062,GRU,Tripulante Cabina Senior,Cabina,2022-01-24,Renuncia Voluntaria,13,Indefinido,1
ATT000140,EMP00214,EZE,Supervisor Operaciones,Tierra,2022-06-30,Jubilacion,12,Indefinido,1
ATT000141,EMP00967,SCL,Tripulante Cabina,Cabina,2023-06-02,Renuncia Voluntaria,9,Indefinido,
ATT000142,EMP00310,LIM,Ground Staff,Tierra,2023-01-04,Traslado Base,6,Indefinido,1
ATT000143,EMP00187,SCL,Ground Staff,Tierra,2022-01-24,Renuncia Voluntaria,3,Indefinido,1
ATT000144,EMP00207,SCL,Tripulante Cabina Senior,Cabina,2024-02-20,Despido,12,Indefinido,1
ATT000145,EMP01570,JFK,Ground Staff,Tierra,2022-01-02,Traslado Base,4,Indefinido,1
ATT000146,EMP01731,BOG,Agente Check-in,Tierra,2022-07-19,Traslado Base,2,Plazo Fijo,
ATT000147,EMP01217,EZE,Supervisor Operaciones,Tierra,2022-07-12,Jubilacion,7,Part-time,1
ATT000148,EMP00967,EZE,Tecnico Mantencion,Tierra,2023-06-14,Despido,3,Indefinido,1
ATT000149,EMP00294,BOG,Tripulante Cabina,Cabina,2023-04-27,Renuncia Voluntaria,,Indefinido,1
ATT000150,EMP00421,LIM,Piloto Copiloto,Cockpit,2024-01-23,Termino Contrato,6,Indefinido,
ATT000151,EMP01316,LIM,Tripulante Cabina Senior,Cabina,2023-06-18,Traslado Base,3,Plazo Fijo,0
ATT000152,EMP01435,LIM,Piloto Copiloto,Cockpit,2024-01-25,Jubilacion,2,Indefinido,0
ATT000153,EMP00033,GRU,Tripulante Cabina,Cabina,2023-08-14,Jubilacion,0,Indefinido,1
ATT000154,EMP00322,GRU,Ground Staff,Tierra,2022-08-19,Termino Contrato,0,Plazo Fijo,1
ATT000155,EMP00882,GRU,Tripulante Cabina,Cabina,2023-09-26,Termino Contrato,10,Indefinido,1
ATT000156,EMP00096,SCL,Tripulante Cabina,Cabina,2024-02-24,Renuncia Voluntaria,15,Indefinido,1
ATT000157,EMP00645,LIM,Agente Check-in,Tierra,2024-05-27,Termino Contrato,0,Indefinido,1
ATT000158,EMP01737,BOG,Seguridad,Tierra,2023-07-28,Jubilacion,14,Plazo Fijo,1
ATT000159,EMP01174,SCL,Piloto Copiloto,Cockpit,2023-06-18,Jubilacion,13,Indefinido,1
ATT000160,EMP00239,GRU,Seguridad,Tierra,2024-09-12,Traslado Base,9,Indefinido,0
ATT000161,EMP00103,SCL,Tripulante Cabina,Cabina,2023-05-20,Termino Contrato,8,Plazo Fijo,0
ATT000162,EMP00475,MIA,Ground Staff,Tierra,2023-03-20,Termino Contrato,14,Plazo Fijo,0
ATT000163,EMP00001,BOG,Ground Staff,Tierra,2023-09-27,Jubilacion,5,Plazo Fijo,0
ATT000164,EMP01026,GRU,Tripulante Cabina Senior,Cabina,2023-07-01,Termino Contrato,4,Plazo Fijo,1
ATT000165,EMP00739,LIM,Agente Check-in,Tierra,2024-01-06,Renuncia Voluntaria,7,Part-time,0
ATT000166,EMP01354,SCL,Tripulante Cabina Senior,Cabina,2024-07-06,Despido,14,Part-time,1
ATT000167,EMP01197,GRU,Tripulante Cabina,Cabina,2024-09-09,Despido,13,Indefinido,0
ATT000168,EMP01297,SCL,Tripulante Cabina Senior,Cabina,2022-01-07,Termino Contrato,10,Indefinido,1
ATT000169,EMP01052,SCL,Seguridad,Tierra,2024-04-01,Renuncia Voluntaria,3,Plazo Fijo,1
ATT000170,EMP00236,MIA,Piloto Comandante,Cockpit,2022-11-16,Renuncia Voluntaria,6,Part-time,
ATT000171,EMP01803,GRU,Tripulante Cabina,Cabina,2024-01-26,Renuncia Voluntaria,7,Plazo Fijo,1
ATT000172,EMP01254,MAD,Ground Staff,Tierra,2022-01-23,Traslado Base,0,Part-time,0
ATT000173,EMP01312,SCL,Supervisor Operaciones,Tierra,2024-09-18,Jubilacion,12,Part-time,0
ATT000174,EMP01803,EZE,Piloto Copiloto,Cockpit,2024-06-10,Jubilacion,4,Part-time,0
ATT000175,EMP00273,GRU,Agente Check-in,Tierra,2024-03-07,Renuncia Voluntaria,12,Indefinido,1
ATT000176,EMP01696,EZE,Tripulante Cabina,Cabina,2022-02-16,Despido,14,Indefinido,1
ATT000177,EMP01065,GRU,Tripulante Cabina Senior,Cabina,2022-12-29,Despido,8,Part-time,1
ATT000178,EMP01494,SCL,Tripulante Cabina,Cabina,2022-10-07,Jubilacion,12,Indefinido,1
ATT000179,EMP00302,GRU,Tripulante Cabina,Cabina,2024-10-03,Jubilacion,7,Indefinido,1
ATT000180,EMP00237,GRU,Agente Check-in,Tierra,2024-12-22,Termino Contrato,8,Indefinido,1
ATT000181,EMP00448,BOG,Agente Check-in,Tierra,2022-03-20,Termino Contrato,6,Part-time,0
ATT000182,EMP00006,SCL,Agente Check-in,Tierra,2022-06-28,Renuncia Voluntaria,10,Plazo Fijo,0
ATT000183,EMP00421,SCL,Agente Check-in,Tierra,2023-09-19,Termino Contrato,4,Plazo Fijo,0
ATT000184,EMP00464,LIM,Ground Staff,Tierra,2023-08-21,Termino Contrato,8,Part-time,1
ATT000185,EMP00430,EZE,Tripulante Cabina,Cabina,2024-02-19,Renuncia Voluntaria,5,Indefinido,1
ATT000186,EMP01638,BOG,Supervisor Operaciones,Tierra,2022-03-15,Traslado Base,5,Indefinido,1
ATT000187,EMP01713,GRU,Ground Staff,Tierra,2022-08-12,Despido,6,Indefinido,1
ATT000188,EMP01127,GRU,Ground Staff,Tierra,2024-02-26,Renuncia Voluntaria,12,Indefinido,1
ATT000189,EMP00380,EZE,Tripulante Cabina,Cabina,2024-02-03,Despido,11,Part-time,1
ATT000190,EMP00177,EZE,Agente Check-in,Tierra,2022-11-12,Renuncia Voluntaria,7,Plazo Fijo,
ATT000191,EMP01526,LIM,Tecnico Mantencion,Tierra,2022-05-24,Traslado Base,10,Plazo Fijo,0
ATT000192,EMP01477,EZE,Ground Staff,Tierra,2024-07-05,Renuncia Voluntaria,7,Indefinido,1
ATT000193,EMP01340,GRU,Piloto Comandante,Cockpit,2024-07-04,Renuncia Voluntaria,5,Indefinido,1
ATT000194,EMP00412,MIA,Tripulante Cabina,Cabina,2022-01-09,Renuncia Voluntaria,7,Plazo Fijo,0
ATT000195,EMP01604,GRU,Tripulante Cabina Senior,Cabina,2023-10-14,Renuncia Voluntaria,4,Indefinido,0
ATT000196,EMP00714,JFK,Piloto Copiloto,Cockpit,2024-06-09,Despido,11,Plazo Fijo,1
ATT000197,EMP01171,BOG,Piloto Copiloto,Cockpit,2022-01-28,Jubilacion,,Indefinido,1
ATT000198,EMP00736,SCL,Tripulante Cabina,Cabina,2022-03-24,Termino Contrato,11,Indefinido,1
ATT000199,EMP00258,SCL,Tripulante Cabina Senior,Cabina,2023-10-30,Termino Contrato,13,Indefinido,0
ATT000200,EMP00063,JFK,Tripulante Cabina Senior,Cabina,2023-06-10,Renuncia Voluntaria,9,Plazo Fijo,0
ATT000201,EMP00245,BOG,Piloto Copiloto,Cockpit,2024-07-15,Jubilacion,6,Part-time,1
ATT000202,EMP01038,BOG,Seguridad,Tierra,2022-08-14,Renuncia Voluntaria,3,Part-time,1
ATT000203,EMP01520,SCL,Tripulante Cabina Senior,Cabina,2024-04-20,Jubilacion,4,Indefinido,0
ATT000204,EMP01001,SCL,Tripulante Cabina Senior,Cabina,2023-07-23,Renuncia Voluntaria,15,Indefinido,1
ATT000205,EMP00385,EZE,Tripulante Cabina Senior,Cabina,2023-06-14,Traslado Base,13,Indefinido,0
ATT000206,EMP01185,LIM,Piloto Copiloto,Cockpit,2024-11-14,Termino Contrato,0,Indefinido,
ATT000207,EMP00857,BOG,Tripulante Cabina Senior,Cabina,2024-04-15,Renuncia Voluntaria,13,Indefinido,0
ATT000208,EMP01301,SCL,Tripulante Cabina,Cabina,2023-12-30,Renuncia Voluntaria,3,Indefinido,1
ATT000209,EMP00927,SCL,Supervisor Operaciones,Tierra,2023-02-22,Jubilacion,8,Indefinido,0
ATT000210,EMP01411,SCL,Tripulante Cabina,Cabina,2023-07-26,Renuncia Voluntaria,6,Indefinido,0
ATT000211,EMP01019,EZE,Ground Staff,Tierra,2023-03-29,Despido,3,Indefinido,0
ATT000212,EMP01114,SCL,Ground Staff,Tierra,2023-07-06,Renuncia Voluntaria,5,Indefinido,0
ATT000213,EMP01311,GRU,Tripulante Cabina,Cabina,2024-07-21,Renuncia Voluntaria,3,Honorarios,1
ATT000214,EMP00958,SCL,Tripulante Cabina,Cabina,2024-12-18,Traslado Base,4,Indefinido,1
ATT000215,EMP00565,JFK,Supervisor Operaciones,Tierra,2023-01-28,Renuncia Voluntaria,3,Indefinido,1
ATT000216,EMP01691,SCL,Ground Staff,Tierra,2023-02-13,Termino Contrato,10,Indefinido,1
ATT000217,EMP00383,SCL,Tripulante Cabina,Cabina,2022-09-21,Renuncia Voluntaria,10,Indefinido,1
ATT000218,EMP00230,GRU,Tripulante Cabina,Cabina,2022-01-07,Termino Contrato,12,Part-time,0
ATT000219,EMP01151,LIM,Tripulante Cabina,Cabina,2024-11-03,Despido,6,Indefinido,1
ATT000220,EMP00630,SCL,Tripulante Cabina Senior,Cabina,2022-07-07,Termino Contrato,6,Indefinido,0
ATT000221,EMP00701,GRU,Piloto Comandante,Cockpit,2024-09-11,Renuncia Voluntaria,,Honorarios,1
ATT000222,EMP00774,BOG,Tecnico Mantencion,Tierra,2022-10-02,Renuncia Voluntaria,4,Indefinido,1
ATT000223,EMP00384,MAD,Piloto Copiloto,Cockpit,2024-07-06,Renuncia Voluntaria,14,Plazo Fijo,0
ATT000224,EMP01374,BOG,Supervisor Operaciones,Tierra,2024-07-22,Jubilacion,12,Indefinido,1
ATT000225,EMP01171,SCL,Piloto Copiloto,Cockpit,2023-11-08,Renuncia Voluntaria,13,Indefinido,1
ATT000226,EMP00652,GRU,Tripulante Cabina Senior,Cabina,2022-07-09,Renuncia Voluntaria,14,Indefinido,1
ATT000227,EMP00601,SCL,Piloto Copiloto,Cockpit,2022-06-10,Despido,14,Indefinido,1
ATT000228,EMP01956,GRU,Ground Staff,Tierra,2024-05-30,Termino Contrato,0,Indefinido,1
ATT000229,EMP01850,lima,Agente Check-in,Tierra,2023-08-17,Renuncia Voluntaria,10,Indefinido,1
ATT000230,EMP01880,SCL,Ground Staff,Tierra,2022-07-03,Termino Contrato,15,Indefinido,1
ATT000231,EMP01149,GRU,Agente Check-in,Tierra,2022-02-20,Jubilacion,13,Indefinido,1
ATT000232,EMP01757,SCL,Agente Check-in,Tierra,2024-01-05,Termino Contrato,2,Indefinido,0
ATT000233,EMP01618,BOG,Agente Check-in,Tierra,2023-05-01,Despido,10,Indefinido,1
ATT000234,EMP00857,EZE,Administrativo,Admin,2022-01-13,Renuncia Voluntaria,15,Indefinido,1
ATT000235,EMP01199,SCL,Piloto Comandante,Cockpit,2024-12-18,Jubilacion,0,Plazo Fijo,0
ATT000236,EMP01414,SCL,Piloto Comandante,Cockpit,2022-06-28,Renuncia Voluntaria,14,Indefinido,0
ATT000237,EMP00706,GRU,Piloto Copiloto,Cockpit,2023-01-19,Traslado Base,4,Indefinido,1
ATT000238,EMP01769,GRU,Piloto Copiloto,Cockpit,2022-01-29,Renuncia Voluntaria,7,Indefinido,1
ATT000239,EMP01549,BOG,Agente Check-in,Tierra,2023-07-13,Renuncia Voluntaria,0,Plazo Fijo,1
ATT000240,EMP00640,LIM,Ground Staff,Tierra,2022-11-08,Renuncia Voluntaria,3,Honorarios,0
ATT000241,EMP00654,JFK,Tripulante Cabina,Cabina,2024-07-21,Renuncia Voluntaria,6,Indefinido,0
ATT000242,EMP00832,EZE,Agente Check-in,Tierra,2022-08-03,Renuncia Voluntaria,2,Indefinido,1
ATT000243,EMP01109,MAD,Tripulante Cabina,Cabina,2022-08-28,Termino Contrato,,Indefinido,1
