flight_id,origin,destination,base_code,aircraft_type,flight_date,season,crew_required_cockpit,crew_required_cabin,ground_staff_required,flight_hours
FLT000125,SCL,EZE,SCL,A320,2024-01-26,Alta_Verano,2,4,8,6
FLT000126,BOG,MAD,BOG,B737,2024-10-27,Baja,2,5,4,4
FLT000127,LIM,MIA,LIM,A320,2023-04-02,Baja,2,6,5,2
FLT000128,GRU,MIA,GRU,B737,2023-08-25,Alta_Invierno,2,4,8,2
FLT000129,GRU,MIA,GRU,B737,2022-01-29,Alta_Verano,2,6,5,4
FLT000130,SCL,GRU,SCL,B737,2022-07-14,Alta_Invierno,2,4,5,8
FLT000131,EZE,GRU,EZE,B767,2022-06-23,Alta_Invierno,2,7,6,3
FLT000132,EZE,GRU,EZE,A320,2023-07-03,Alta_Invierno,2,6,3,14
FLT000133,GRU,MAD,GRU,A350,2024-10-25,Baja,2,8,3,2
FLT000134,SCL,LIM,SCL,B737,2023-07-18,Alta_Invierno,2,6,3,4
FLT000135,BOG,MAD,BOG,B737,2022-01-22,Alta_Verano,2,5,5,10
FLT000136,LIM,MIA,LIM,B787,2023-04-13,Baja,2,9,4,11
FLT000137,LIM,MIA,LIM,A350,2022-05-14,Baja,2,8,6,5
FLT000138,SCL,BOG,SCL,B737,2024-02-13,Alta_Verano,2,4,6,3
FLT000139,SCL,GRU,SCL,B767,2023-09-30,Baja,2,8,6,13
FLT000140,EZE,GRU,EZE,B737,2023-06-26,Alta_Invierno,2,6,7,4
FLT000141,GRU,MAD,GRU,A320,2023-08-27,Alta_Invierno,2,6,4,8
FLT000142,SCL,GRU,SCL,B787,2023-09-27,Baja,2,10,4,10
FLT000143,SCL,BOG,SCL,B737,2024-12-11,Alta_Verano,2,6,4,13
FLT000144,GRU,MAD,GRU,B737,2023-06-09,Alta_Invierno,2,4,5,3
FLT000145,SCL,MIA,SCL,A320,2023-07-25,Alta_Invierno,2,4,8,5
FLT000146,SCL,EZE,SCL,A320,2023-06-13,Alta_Invierno,2,4,3,7
FLT000147,SCL,MAD,SCL,A320,2022-10-16,Baja,2,5,4,2
FLT000148,GRU,MAD,GRU,B737,2022-05-10,Baja,2,6,6,13
FLT000149,EZE,GRU,EZE,A350,2022-11-19,Baja,2,8,4,9
FLT000150,GRU,MIA,GRU,B787,2023-08-16,Alta_Invierno,2,10,8,2
FLT000151,LIM,BOG,LIM,B737,2023-07-07,Alta_Invierno,2,5,6,14
FLT000152,SCL,EZE,SCL,B737,2024-01-26,Alta_Verano,2,5,7,12
FLT000153,SCL,MIA,SCL,B737,2022-01-19,Alta_Verano,2,4,5,3
FLT000154,SCL,MIA,SCL,A320,2024-01-20,Alta_Verano,2,4,5,6
FLT000155,BOG,MIA,BOG,B737,2023-10-02,Baja,2,4,3,3
FLT000156,GRU,MIA,GRU,B787,2023-04-29,Baja,2,10,8,2
FLT000157,BOG,MIA,BOG,A320,2024-01-21,Alta_Verano,2,4,5,14
FLT000158,LIM,MIA,LIM,A350,2022-12-20,Alta_Verano,2,12,5,4
FLT000159,GRU,MIA,GRU,A350,2022-07-23,Alta_Invierno,2,10,4,3
FLT000160,GRU,MIA,GRU,A320,2023-10-01,Baja,2,6,3,2
FLT000161,LIM,GRU,LIM,B737,2023-04-22,Baja,2,5,8,13
FLT000162,GRU,MAD,GRU,A320,2023-01-20,Alta_Verano,2,4,8,9
FLT000163,LIM,BOG,LIM,B767,2023-02-21,Alta_Verano,2,7,4,4
FLT000164,SCL,LIM,SCL,B737,2023-08-09,Alta_Invierno,2,6,8,6
FLT000165,SCL,MIA,SCL,A350,2022-08-31,Alta_Invierno,2,10,8,2
FLT000166,LIM,BOG,LIM,B737,2024-07-06,Alta_Invierno,2,5,4,14
FLT000167,BOG,MIA,BOG,B767,2022-07-14,Alta_Invierno,2,6,4,4
FLT000168,SCL,EZE,SCL,A320,2022-01-28,Alta_Verano,2,4,6,8
FLT000169,SCL,MIA,SCL,A350,2023-04-03,Baja,2,8,4,6
FLT000170,SCL,MIA,SCL,B737,2024-01-11,Alta_Verano,2,5,4,12
FLT000171,SCL,EZE,SCL,B767,2022-12-26,Alta_Verano,2,7,4,11
FLT000172,LIM,MIA,LIM,B737,2022-01-19,Alta_Verano,2,6,5,3
FLT000173,SCL,BOG,SCL,A350,2023-05-12,Baja,2,11,8,3
FLT000174,BOG,MIA,BOG,B767,2024-01-16,Alta_Verano,2,8,8,7
FLT000175,LIM,GRU,LIM,B737,2023-01-09,Alta_Verano,2,6,7,14
FLT000176,LIM,GRU,LIM,B767,2022-06-26,Alta_Invierno,2,6,6,3
FLT000177,SCL,JFK,SCL,A320,2023-03-21,Baja,2,6,4,13
FLT000178,LIM,GRU,LIM,A320,2024-07-04,Alta_Invierno,2,4,5,10
FLT000179,SCL,MIA,SCL,B737,2024-06-26,Alta_Invierno,2,5,6,
FLT000180,SCL,MIA,SCL,B767,2023-12-20,Alta_Verano,2,6,7,4
FLT000181,BOG,MIA,BOG,B737,2022-07-01,Alta_Invierno,2,6,3,2
FLT000182,SCL,EZE,SCL,B737,2024-01-27,Alta_Verano,2,4,3,14
FLT000183,SCL,BOG,SCL,A320,2022-06-02,Alta_Invierno,2,4,4,7
FLT000184,SCL,MIA,SCL,B767,2022-12-25,Alta_Verano,2,8,5,13
FLT000185,SCL,LIM,SCL,A350,2024-09-11,Baja,2,12,5,10
FLT000186,SCL,MAD,SCL,A350,2024-01-11,Alta_Verano,2,11,3,5
FLT000187,LIM,GRU,LIM,B737,2024-02-13,Alta_Verano,2,4,8,2
FLT000188,GRU,MAD,GRU,B787,2022-10-03,Baja,2,11,3,3
FLT000189,SCL,JFK,SCL,A350,2023-07-14,Alta_Invierno,2,8,3,4
FLT000190,GRU,MAD,GRU,A320,2023-10-18,Baja,2,4,6,
FLT000191,SCL,MAD,SCL,A320,2022-02-25,Alta_Verano,2,6,3,2
FLT000192,LIM,MIA,LIM,B737,2024-10-28,Baja,2,5,6,5
FLT000193,BOG,MIA,BOG,B737,2022-01-17,Alta_Verano,2,5,7,13
FLT000194,SCL,MIA,SCL,B737,2022-12-25,Alta_Verano,2,5,8,11
FLT000195,BOG,MAD,BOG,A320,2022-01-30,Alta_Verano,2,5,3,5
FLT000196,SCL,MAD,SCL,B787,2024-01-11,Alta_Verano,2,10,8,5
FLT000197,SCL,BOG,SCL,A320,2023-12-30,Alta_Verano,2,5,4,3
FLT000198,LIM,GRU,LIM,A350,2024-07-16,Alta_Invierno,2,9,3,9
FLT000199,GRU,MAD,GRU,A320,2023-10-14,Baja,2,6,8,3
FLT000200,SCL,JFK,SCL,A320,2024-08-01,Alta_Invierno,2,4,7,14
FLT000201,LIM,BOG,LIM,A320,2024-04-29,Baja,2,6,3,12
FLT000202,LIM,GRU,LIM,B787,2023-07-15,Alta_Invierno,2,8,5,14
FLT000203,SCL,LIM,SCL,A350,2024-11-13,Baja,2,8,7,14
FLT000204,BOG,MIA,BOG,A320,2024-10-31,Baja,2,6,8,3
FLT000205,SCL,MAD,SCL,A320,2022-07-10,Alta_Invierno,2,6,7,5
FLT000206,SCL,JFK,SCL,B737,2022-04-13,Baja,2,4,6,5
FLT000207,LIM,MIA,LIM,A320,2022-01-22,Alta_Verano,2,4,7,9
FLT000208,BOG,MAD,BOG,B787,2024-01-18,Alta_Verano,2,9,3,6
FLT000209,BOG,MIA,BOG,B767,2023-12-10,Alta_Verano,2,6,4,2
FLT000210,EZE,GRU,EZE,A320,2022-01-24,Alta_Verano,2,6,5,
FLT000211,GRU,MAD,GRU,B787,2022-01-27,Alta_Verano,2,10,3,13
FLT000212,BOG,MAD,BOG,B737,2023-02-04,Alta_Verano,2,6,4,10
FLT000213,LIM,MIA,LIM,B787,2024-07-26,Alta_Invierno,2,10,3,5
FLT000214,GRU,MIA,GRU,B787,2023-03-17,Baja,2,9,3,4
FLT000215,SCL,MIA,SCL,A350,2022-03-06,Baja,2,11,8,6
FLT000216,LIM,MIA,LIM,B787,2024-04-18,Baja,2,11,3,2
FLT000217,SCL,JFK,SCL,A320,2022-09-20,Baja,2,5,6,6
FLT000218,BOG,MIA,BOG,A350,2023-07-21,Alta_Invierno,2,10,6,10
FLT000219,BOG,MAD,BOG,B767,2024-08-18,Alta_Invierno,2,7,8,12
FLT000220,LIM,BOG,LIM,A320,2022-06-23,Alta_Invierno,2,5,7,2
FLT000221,LIM,BOG,LIM,B737,2024-07-13,Alta_Invierno,2,4,7,3
FLT000222,SCL,EZE,SCL,B787,2022-12-13,Alta_Verano,2,12,6,3
FLT000223,GRU,MIA,GRU,B737,2024-11-16,Baja,2,4,3,6
FLT000224,LIM,MIA,LIM,A350,2024-02-01,Alta_Verano,2,12,7,4
FLT000225,LIM,MIA,LIM,B767,2024-01-19,Alta_Verano,2,8,6,2
FLT000226,EZE,GRU,EZE,A320,2024-03-19,Baja,2,4,5,5
FLT000227,LIM,GRU,LIM,B787,2022-01-01,Alta_Verano,2,9,4,13
FLT000228,SCL,BOG,SCL,B737,2023-07-23,Alta_Invierno,2,5,8,4
FLT000229,SCL,EZE,SCL,A320,2023-12-21,Alta_Verano,2,6,8,3
FLT000230,SCL,MAD,SCL,B787,2023-12-17,Alta_Verano,2,10,6,5
FLT000231,SCL,MAD,SCL,B737,2024-11-14,Baja,2,4,4,5
FLT000232,GRU,MAD,GRU,A320,2022-10-22,Baja,2,5,7,5
FLT000233,SCL,MAD,SCL,A350,2024-12-30,Alta_Verano,2,11,6,11
FLT000234,LIM,MIA,LIM,B767,2022-10-23,Baja,2,8,5,13
FLT000235,EZE,GRU,EZE,B737,2023-06-28,Alta_Invierno,2,5,6,11
FLT000236,SCL,MIA,SCL,B737,2023-06-06,Alta_Invierno,2,6,7,4
FLT000237,SCL,MAD,SCL,A350,2024-07-08,Alta_Invierno,2,11,3,14
FLT000238,SCL,LIM,SCL,B737,2022-09-17,Baja,2,5,3,8
FLT000239,SCL,JFK,SCL,B737,2023-12-18,Alta_Verano,2,4,7,11
FLT000240,LIM,BOG,LIM,B787,2023-01-08,Alta_Verano,2,9,8,12
FLT000241,LIM,BOG,LIM,B737,2023-12-25,Alta_Verano,2,5,3,3
FLT000242,SCL,MIA,SCL,B737,2022-07-08,Alta_Invierno,2,6,8,12
FLT000243,SCL,GRU,SCL,B787,2023-09-27,Baja,2,8,8,3
FLT000244,SCL,MAD,SCL,B737,2022-03-02,Baja,2,4,4,14
FLT000245,LIM,GRU,LIM,B737,2024-06-05,Alta_Invierno,2,4,6,10
FLT000246,GRU,MIA,GRU,B737,2022-10-23,Baja,2,5,6,8
FLT000247,GRU,MAD,GRU,B767,2024-03-29,Baja,2,7,5,11
FLT000248,LIM,MIA,LIM,A350,2023-02-07,Alta_Verano,2,8,7,9
FLT000249,LIM,BOG,LIM,B737,2024-04-18,Baja,2,5,7,5
FLT000250,SCL,BOG,SCL,A350,2024-02-22,Alta_Verano,2,8,4,2
FLT000251,SCL,BOG,SCL,B787,2024-06-27,Alta_Invierno,2,12,5,3
FLT000252,SCL,JFK,SCL,B737,2022-07-08,Alta_Invierno,2,4,3,10
FLT000253,BOG,MAD,BOG,A320,2022-11-19,Baja,2,4,3,2
FLT000254,SCL,EZE,SCL,B737,2022-06-11,Alta_Invierno,2,6,6,14
FLT000255,SCL,MIA,SCL,B737,2023-11-15,Baja,2,4,8,3
FLT000256,SCL,LIM,SCL,B787,2022-07-14,Alta_Invierno,2,11,4,6
FLT000257,SCL,MAD,SCL,B787,2024-09-24,Baja,2,12,5,4
FLT000258,GRU,MAD,GRU,A320,2023-01-10,Alta_Verano,2,4,4,5
FLT000259,LIM,BOG,LIM,B787,2023-10-02,Baja,2,12,7,2
FLT000260,GRU,MAD,GRU,B767,2024-12-04,Alta_Verano,2,8,6,12
FLT000261,SCL,MAD,SCL,B737,2023-08-29,Alta_Invierno,2,6,8,13
FLT000262,LIM,BOG,LIM,B737,2023-01-10,Alta_Verano,2,6,8,5
FLT000263,BOG,MAD,BOG,A320,2022-05-30,Baja,2,5,5,3
FLT000264,SCL,EZE,SCL,B767,2024-07-07,Alta_Invierno,2,8,6,2
FLT000265,BOG,MIA,BOG,A350,2023-01-15,Alta_Verano,2,10,3,14
FLT000266,EZE,GRU,EZE,B737,2024-07-11,Alta_Invierno,2,5,5,13
FLT000267,SCL,BOG,SCL,A320,2022-07-11,Alta_Invierno,2,4,8,5
FLT000268,BOG,MAD,BOG,A320,2024-01-20,Alta_Verano,2,5,7,12
FLT000269,SCL,JFK,SCL,B737,2023-08-12,Alta_Invierno,2,6,7,2
FLT000270,GRU,MIA,GRU,B737,2023-01-07,Alta_Verano,2,5,6,2
FLT000271,SCL,JFK,SCL,B737,2023-01-28,Alta_Verano,2,5,6,4
FLT000272,LIM,MIA,LIM,B737,2023-03-08,Baja,2,6,3,12
FLT000273,SCL,MAD,SCL,B767,2024-05-15,Baja,2,6,5,8
FLT000274,BOG,MIA,BOG,A320,2022-12-03,Alta_Verano,2,6,3,9
FLT000275,SCL,JFK,SCL,B787,2022-11-24,Baja,2,12,6,5
FLT000276,SCL,GRU,SCL,B767,2024-11-10,Baja,2,7,7,13
FLT000277,SCL,GRU,SCL,B737,2023-08-08,Alta_Invierno,2,4,5,11
FLT000278,LIM,MIA,LIM,A350,2023-09-15,Baja,2,11,4,11
FLT000279,BOG,MIA,BOG,B767,2023-11-20,Baja,2,6,6,8
FLT000280,SCL,BOG,SCL,A320,2022-07-20,Alta_Invierno,2,5,3,12
FLT000281,SCL,LIM,SCL,B787,2022-08-30,Alta_Invierno,2,10,5,7
FLT000282,EZE,GRU,EZE,A350,2024-04-17,Baja,2,10,6,9
FLT000283,GRU,MAD,GRU,B737,2024-11-24,Baja,2,5,8,5
FLT000284,SCL,BOG,SCL,B767,2023-09-09,Baja,2,6,7,2
FLT000285,LIM,GRU,LIM,B737,2023-08-06,Alta_Invierno,2,4,8,13
FLT000286,SCL,GRU,SCL,A320,2024-09-04,Baja,2,6,3,2
FLT000287,SCL,BOG,SCL,A350,2022-07-20,Alta_Invierno,2,8,3,6
FLT000288,SCL,MIA,SCL,A320,2023-01-05,Alta_Verano,2,4,3,9
FLT000289,SCL,MAD,SCL,B767,2023-04-01,Baja,2,8,8,5
FLT000290,LIM,BOG,LIM,B767,2022-10-27,Baja,2,6,7,10
FLT000291,SCL,JFK,SCL,A320,2022-09-16,Baja,2,5,6,4
FLT000292,LIM,BOG,LIM,B787,2024-06-20,Alta_Invierno,2,10,4,8
FLT000293,SCL,LIM,SCL,B737,2022-01-03,Alta_Verano,2,5,7,2
FLT000294,EZE,GRU,EZE,B787,2023-11-13,Baja,2,12,6,5
FLT000295,SCL,MAD,SCL,B737,2023-08-31,Alta_Invierno,2,4,3,6
FLT000296,EZE,GRU,EZE,B737,2024-10-15,Baja,2,6,5,5
FLT000297,SCL,GRU,SCL,B737,2023-09-29,Baja,2,6,7,3
FLT000298,GRU,MIA,GRU,B737,2022-08-27,Alta_Invierno,2,5,3,8
FLT000299,LIM,BOG,LIM,B737,2022-07-31,Alta_Invierno,2,6,7,
FLT000300,EZE,GRU,EZE,B737,2024-09-12,Baja,2,5,3,9
FLT000301,BOG,MIA,BOG,A350,2023-07-21,Alta_Invierno,2,9,3,14
FLT000302,SCL,JFK,SCL,B737,2022-02-05,Alta_Verano,2,5,8,8
FLT000303,LIM,GRU,LIM,B737,2023-10-02,Baja,2,5,6,5
FLT000304,LIM,BOG,LIM,A320,2022-01-27,Alta_Verano,2,4,8,8
FLT000305,SCL,BOG,SCL,A320,2022-07-27,Alta_Invierno,2,6,7,4
FLT000306,GRU,MIA,GRU,A320,2024-06-13,Alta_Invierno,2,4,3,
FLT000307,LIM,MIA,LIM,B737,2023-01-20,Alta_Verano,2,4,7,2
FLT000308,GRU,MAD,GRU,B787,2023-07-07,Alta_Invierno,2,10,3,4
FLT000309,LIM,GRU,LIM,A320,2023-09-20,Baja,2,6,4,12
FLT000310,BOG,MAD,BOG,B737,2024-03-09,Baja,2,4,3,6
FLT000311,GRU,MAD,GRU,B737,2023-10-20,Baja,2,6,8,4
FLT000312,SCL,JFK,SCL,B737,2024-09-15,Baja,2,5,8,10
FLT000313,SCL,BOG,SCL,B767,2023-12-07,Alta_Verano,2,7,7,4
FLT000314,LIM,BOG,LIM,A320,2023-01-19,Alta_Verano,2,5,8,5
FLT000315,SCL,JFK,SCL,B737,2023-10-18,Baja,2,6,6,8
FLT000316,LIM,GRU,LIM,B787,2024-12-05,Alta_Verano,2,10,7,5
FLT000317,SCL,GRU,SCL,A320,2024-11-30,Baja,2,5,7,9
FLT000318,GRU,MIA,GRU,A320,2023-01-24,Alta_Verano,2,4,8,5
FLT000319,LIM,GRU,LIM,B767,2023-01-23,Alta_Verano,2,6,5,12
FLT000320,SCL,EZE,SCL,A320,2022-07-12,Alta_Invierno,2,6,3,7
FLT000321,BOG,MIA,BOG,B737,2022-01-23,Alta_Verano,2,6,4,
FLT000322,SCL,LIM,SCL,B787,2022-12-14,Alta_Verano,2,12,5,12
FLT000323,GRU,MIA,GRU,B737,2024-01-31,Alta_Verano,2,5,3,7
