req_id,base_code,role,category,min_headcount,optimal_headcount,max_hours_monthly,valid_from,valid_to
REQ0044,EZE,Tripulante Cabina,Cabina,27,32,120,2022-01-01,2027-12-31
REQ0045,EZE,Ground Staff,Tierra,15,18,190,2022-01-01,2027-12-31
REQ0046,EZE,Agente Check-in,Tierra,18,22,190,2022-01-01,2027-12-31
REQ0047,EZE,Supervisor Operaciones,Tierra,9,11,190,2022-01-01,2027-12-31
REQ0048,EZE,Tecnico Mantencion,Tierra,19,23,190,2022-01-01,2027-12-31
REQ0049,EZE,Administrativo,Admin,19,23,190,2022-01-01,2027-12-31
REQ0050,EZE,Seguridad,Tierra,17,20,190,2022-01-01,2027-12-31
REQ0051,MIA,Piloto Comandante,Cockpit,12,14,100,2022-01-01,2027-12-31
REQ0052,MIA,Piloto Copiloto,Cockpit,11,13,100,2022-01-01,2027-12-31
REQ0053,MIA,Tripulante Cabina Senior,Cabina,28,34,120,2022-01-01,2027-12-31
REQ0054,MIA,Tripulante Cabina,Cabina,15,18,120,2022-01-01,2027-12-31
REQ0055,MIA,Ground Staff,Tierra,7,8,190,2022-01-01,
REQ0056,MIA,Agente Check-in,Tierra,11,13,190,2022-01-01,2027-12-31
REQ0057,MIA,Supervisor Operaciones,Tierra,5,6,190,2022-01-01,2027-12-31
REQ0058,MIA,Tecnico Mantencion,Tierra,14,17,190,2022-01-01,2027-12-31
REQ0059,MIA,Administrativo,Admin,9,11,190,2022-01-01,2027-12-31
REQ0060,MIA,Seguridad,Tierra,18,22,190,2022-01-01,2027-12-31
REQ0061,MAD,Piloto Comandante,Cockpit,14,17,100,2022-01-01,2027-12-31
REQ0062,MAD,Piloto Copiloto,Cockpit,11,13,100,2022-01-01,2027-12-31
REQ0063,MAD,Tripulante Cabina Senior,Cabina,25,30,120,2022-01-01,2027-12-31
REQ0064,MAD,Tripulante Cabina,Cabina,21,25,120,2022-01-01,2027-12-31
REQ0065,MAD,Ground Staff,Tierra,15,18,190,2022-01-01,2027-12-31
REQ0066,MAD,Agente Check-in,Tierra,9,11,190,2022-01-01,2027-12-31
REQ0067,MAD,Supervisor Operaciones,Tierra,13,16,190,2022-01-01,2027-12-31
REQ0068,MAD,Tecnico Mantencion,Tierra,6,7,190,2022-01-01,2027-12-31
REQ0069,MAD,Administrativo,Admin,6,7,190,2022-01-01,2027-12-31
REQ0070,MAD,Seguridad,Tierra,18,22,190,2022-01-01,2027-12-31
REQ0071,JFK,Piloto Comandante,Cockpit,10,12,100,2022-01-01,2027-12-31
REQ0072,JFK,Piloto Copiloto,Cockpit,15,18,100,2022-01-01,2027-12-31
REQ0073,JFK,Tripulante Cabina Senior,Cabina,25,30,120,2022-01-01,2027-12-31
REQ0074,JFK,Tripulante Cabina,Cabina,17,20,120,2022-01-01,2027-12-31
REQ0075,JFK,Ground Staff,Tierra,6,7,190,2022-01-01,2027-12-31
REQ0076,JFK,Agente Check-in,Tierra,13,16,190,2022-01-01,2027-12-31
REQ0077,JFK,Supervisor Operaciones,Tierra,7,8,190,2022-01-01,2027-12-31
REQ0078,JFK,Tecnico Mantencion,Tierra,12,14,190,2022-01-01,2027-12-31
REQ0079,JFK,Administrativo,Admin,5,6,190,2022-01-01,2027-12-31
REQ0080,JFK,Seguridad,Tierra,19,23,190,2022-01-01,2027-12-31
